"BBL_SPECIES_ID","BBL_SPECIES_NAME","BBL_SCI_NAME","EBIRD_SPECIES_CODE","EBIRD_PRIMARY_COM_NAME","EBIRD_SCI_NAME","EBIRD_CATEGORY","EBIRDST_CODE"
3770,"Northern Hawk Owl","Surnia ulula","nohowl","Northern Hawk Owl","Surnia ulula","species","nohowl"
3790,"Northern Pygmy-Owl","Glaucidium gnoma","nopowl","Northern Pygmy-Owl","Glaucidium gnoma","species","nopowl"
3800,"Ferruginous Pygmy-Owl","Glaucidium brasilianum","fepowl","Ferruginous Pygmy-Owl","Glaucidium brasilianum","species","fepowl"
3810,"Elf Owl","Micrathene whitneyi","elfowl","Elf Owl","Micrathene whitneyi","species",NA
3780,"Burrowing Owl","Athene cunicularia","burowl","Burrowing Owl","Athene cunicularia","species","burowl"
3690,"Spotted Owl","Strix occidentalis","spoowl","Spotted Owl","Strix occidentalis","species","spoowl"
3692,"Northern Spotted Owl","Strix occidentalis caurina","spoowl","Spotted Owl","Strix occidentalis","species","spoowl"
3691,"California Spotted Owl","Strix occidentalis occidentalis","spoowl","Spotted Owl","Strix occidentalis","species","spoowl"
3693,"Mexican Spotted Owl","Strix occidentalis lucida","spoowl","Spotted Owl","Strix occidentalis","species","spoowl"
3686,"Spotted X Barred Owl Hybrid","Strix occidentalis x varia","x00439","Spotted x Barred Owl (hybrid)","Strix occidentalis x varia","hybrid",NA
3680,"Barred Owl","Strix varia","brdowl","Barred Owl","Strix varia","species","brdowl"
3700,"Great Gray Owl","Strix nebulosa","grgowl","Great Gray Owl","Strix nebulosa","species",NA
3660,"Long-eared Owl","Asio otus","loeowl","Long-eared Owl","Asio otus","species","loeowl"
3670,"Short-eared Owl","Asio flammeus","sheowl","Short-eared Owl","Asio flammeus","species","sheowl"
3710,"Boreal Owl","Aegolius funereus","borowl","Boreal Owl","Aegolius funereus","species",NA
3720,"Northern Saw-whet Owl","Aegolius acadicus","nswowl","Northern Saw-whet Owl","Aegolius acadicus","species","nswowl"
3890,"Elegant Trogon","Trogon elegans","eletro","Elegant Trogon","Trogon elegans","species","eletro"
9081,"Jamaican Tody","Todus todus","jamtod1","Jamaican Tody","Todus todus","species",NA
3912,"Puerto Rican Tody","Todus mexicanus","purtod1","Puerto Rican Tody","Todus mexicanus","species","purtod1"
3901,"Ringed Kingfisher","Megaceryle torquata","rinkin1","Ringed Kingfisher","Megaceryle torquata","species","rinkin1"
3900,"Belted Kingfisher","Megaceryle alcyon","belkin1","Belted Kingfisher","Megaceryle alcyon","species","belkin1"
3910,"Green Kingfisher","Chloroceryle americana","grnkin","Green Kingfisher","Chloroceryle americana","species","grnkin"
8790,"Micronesian Kingfisher","Todiramphus cinnamominus","mickin1","Guam Kingfisher","Todiramphus cinnamominus","species",NA
8630,"Collared Kingfisher","Todiramphus chloris","colkin1","Collared Kingfisher","Todiramphus chloris","species",NA
4080,"Lewis's Woodpecker","Melanerpes lewis","lewwoo","Lewis's Woodpecker","Melanerpes lewis","species","lewwoo"
4071,"Puerto Rican Woodpecker","Melanerpes portoricensis","purwoo1","Puerto Rican Woodpecker","Melanerpes portoricensis","species","purwoo1"
4060,"Red-headed Woodpecker","Melanerpes erythrocephalus","rehwoo","Red-headed Woodpecker","Melanerpes erythrocephalus","species","rehwoo"
4070,"Acorn Woodpecker","Melanerpes formicivorus","acowoo","Acorn Woodpecker","Melanerpes formicivorus","species","acowoo"
4110,"Gila Woodpecker","Melanerpes uropygialis","gilwoo","Gila Woodpecker","Melanerpes uropygialis","species","gilwoo"
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons","gofwoo","Golden-fronted Woodpecker","Melanerpes aurifrons","species","gofwoo"
4090,"Red-bellied Woodpecker","Melanerpes carolinus","rebwoo","Red-bellied Woodpecker","Melanerpes carolinus","species","rebwoo"
4092,"West Indian Woodpecker","Melanerpes superciliaris","weiwoo1","West Indian Woodpecker","Melanerpes superciliaris","species","weiwoo1"
4040,"Williamson's Sapsucker","Sphyrapicus thyroideus","wilsap","Williamson's Sapsucker","Sphyrapicus thyroideus","species","wilsap"
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius","yebsap","Yellow-bellied Sapsucker","Sphyrapicus varius","species","yebsap"
4021,"Red-naped Sapsucker","Sphyrapicus nuchalis","rensap","Red-naped Sapsucker","Sphyrapicus nuchalis","species","rensap"
4030,"Red-breasted Sapsucker","Sphyrapicus ruber","rebsap","Red-breasted Sapsucker","Sphyrapicus ruber","species","rebsap"
4023,"Hybrid Sapsucker","Sphyrapicus x",NA,NA,NA,NA,NA
4010,"American Three-toed Woodpecker","Picoides dorsalis","attwoo1","American Three-toed Woodpecker","Picoides dorsalis","species","attwoo1"
4000,"Black-backed Woodpecker","Picoides arcticus","bkbwoo","Black-backed Woodpecker","Picoides arcticus","species","bkbwoo"
3940,"Downy Woodpecker","Dryobates pubescens","dowwoo","Downy Woodpecker","Dryobates pubescens","species","dowwoo"
3970,"Nuttall's Woodpecker","Dryobates nuttallii","nutwoo","Nuttall's Woodpecker","Dryobates nuttallii","species","nutwoo"
3960,"Ladder-backed Woodpecker","Dryobates scalaris","labwoo","Ladder-backed Woodpecker","Dryobates scalaris","species","labwoo"
3950,"Red-cockaded Woodpecker","Dryobates borealis","recwoo","Red-cockaded Woodpecker","Dryobates borealis","species","recwoo"
3930,"Hairy Woodpecker","Dryobates villosus","haiwoo","Hairy Woodpecker","Dryobates villosus","species","haiwoo"
3990,"White-headed Woodpecker","Dryobates albolarvatus","whhwoo","White-headed Woodpecker","Dryobates albolarvatus","species","whhwoo"
3980,"Arizona Woodpecker","Dryobates arizonae","ariwoo","Arizona Woodpecker","Dryobates arizonae","species","ariwoo"
4120,"Yellow-shafted Flicker","Colaptes auratus auratus","norfli","Northern Flicker","Colaptes auratus","species","norfli"
4130,"Red-shafted Flicker","Colaptes auratus cafer","norfli","Northern Flicker","Colaptes auratus","species","norfli"
4123,"Flicker Intergrade","Colaptes auratus","norfli","Northern Flicker","Colaptes auratus","species","norfli"
4140,"Gilded Flicker","Colaptes chrysoides","gilfli","Gilded Flicker","Colaptes chrysoides","species","gilfli"
4050,"Pileated Woodpecker","Dryocopus pileatus","pilwoo","Pileated Woodpecker","Dryocopus pileatus","species","pilwoo"
3620,"Crested Caracara","Caracara plancus","y00678","Crested Caracara","Caracara plancus","species","y00678"
3621,"Audubon's Crested Caracara","Caracara plancus audubonii","y00678","Crested Caracara","Caracara plancus","species","y00678"
3591,"Eurasian Kestrel","Falco tinnunculus","eurkes","Eurasian Kestrel","Falco tinnunculus","species",NA
3600,"American Kestrel","Falco sparverius","amekes","American Kestrel","Falco sparverius","species","amekes"
3570,"Merlin","Falco columbarius","merlin","Merlin","Falco columbarius","species","merlin"
3590,"Aplomado Falcon","Falco femoralis","aplfal","Aplomado Falcon","Falco femoralis","species","aplfal"
3540,"Gyrfalcon","Falco rusticolus","gyrfal","Gyrfalcon","Falco rusticolus","species",NA
3560,"Peregrine Falcon","Falco peregrinus","perfal","Peregrine Falcon","Falco peregrinus","species","perfal"
3550,"Prairie Falcon","Falco mexicanus","prafal","Prairie Falcon","Falco mexicanus","species","prafal"
3815,"Blue-crowned Lorikeet","Vini australis","blclor2","Blue-crowned Lorikeet","Vini australis","species",NA
3824,"Monk Parakeet","Myiopsitta monachus","monpar","Monk Parakeet","Myiopsitta monachus","species","monpar"
3813,"Orange-fronted Parakeet","Eupsittula canicularis","orfpar","Orange-fronted Parakeet","Eupsittula canicularis","species","orfpar"
3814,"Brown-throated Parakeet","Eupsittula pertinax","brtpar1","Brown-throated Parakeet","Eupsittula pertinax","species","brtpar1"
3827,"Hispaniolan Parrot","Amazona ventralis","hispar1","Hispaniolan Parrot","Amazona ventralis","species",NA
9986,"Hybrid Nonpasserine","",NA,NA,NA,NA,NA
4411,"Rose-throated Becard","Pachyramphus aglaiae","rotbec","Rose-throated Becard","Pachyramphus aglaiae","species","rotbec"
4720,"Northern Beardless-Tyrannulet","Camptostoma imberbe","nobtyr","Northern Beardless-Tyrannulet","Camptostoma imberbe","species","nobtyr"
9102,"Jamaican Elaenia","Myiopagis cotta","jamela1","Jamaican Elaenia","Myiopagis cotta","species",NA
4711,"Greenish Elaenia","Myiopagis viridicata","greela","Greenish Elaenia","Myiopagis viridicata","species","greela"
4721,"Caribbean Elaenia","Elaenia martinica","carela1","Caribbean Elaenia","Elaenia martinica","species","carela1"
9099,"Yellow-bellied Elaenia","Elaenia flavogaster","yebela1","Yellow-bellied Elaenia","Elaenia flavogaster","species","yebela1"
9101,"Greater Antillean Elaenia","Elaenia fallax","graela1","Greater Antillean Elaenia","Elaenia fallax","species",NA
9094,"Sad Flycatcher","Myiarchus barbirostris","sadfly1","Sad Flycatcher","Myiarchus barbirostris","species",NA
4550,"Dusky-capped Flycatcher","Myiarchus tuberculifer","ducfly","Dusky-capped Flycatcher","Myiarchus tuberculifer","species","ducfly"
4540,"Ash-throated Flycatcher","Myiarchus cinerascens","astfly","Ash-throated Flycatcher","Myiarchus cinerascens","species","astfly"
